dinosaurio,tokens
yangchuanosaurus,yang chuano sauru s </W>
yaverlandia,ya ver lan dia </W>
yehuecauhceratops,y e hue cau h ceratop s </W>
yezosaurus,y e z o sauru s </W>
yibinosaurus,yi bino sauru s </W>
yimenosaurus,yi meno sauru s </W>
yingshanosaurus,yin g shano sauru s </W>
yinlong,yin long </W>
yixianosaurus,yi xiano sauru s </W>
yizhousaurus,yi zho u sauru s </W>
yongjinglong,yong jin g long </W>
yuanmouraptor,yuan mo ura p tor </W>
yuanmousaurus,yuan mo u sauru s </W>
yueosaurus,yu eo sauru s </W>
yulong,yu long </W>
yunganglong,yun gan g long </W>
yunmenglong,yun men g long </W>
yunnanosaurus,yun nano sauru s </W>
yunxianosaurus,yun xiano sauru s </W>
yurgovuchia,yur go vu chia </W>
yutyrannus,yu tyran n u s </W>
zanabazar,zanaba zar </W>
zanclodon,zan c lo don </W>
zapalasaurus,za pala sauru s </W>
zapsalis,za p salis </W>
zaraapelta,zara a pelta </W>
zatomuszby,zato mu sz by </W>
zephyrosaurus,z e phy ro sauru s </W>
zhanghenglong,z han g hen g long </W>
zhejiangosaurus,z he jiango sauru s </W>
zhenyuanlong,z hen yuan long </W>
zhongornis,zhongornis </W>
zhongjianosaurus,zhong jiano sauru s </W>
zhongyuansaurus,zhong yuan sauru s </W>
zhuchengceratops,zhuchen g ceratop s </W>
zhuchengosaurus,zhuchen go sauru s </W>
zhuchengtitan,zhuchen g titan </W>
zhuchengtyrannus,zhuchen g tyran n u s </W>
ziapelta,z ia pelta </W>
zigongosaurus,z i gongo sauru s </W>
zizhongosaurus,z i zhongo sauru s </W>
zuniceratops,zuni ceratop s </W>
zunityrannus,zuni tyran n u s </W>
zuolong,zu o long </W>
zuoyunlong,zu o yun long </W>
zupaysaurus,zu pa y sauru s </W>
zuul,zu u l </W>
