dinosaurio,tokens
tehuelchesaurus,te huel che sauru s </EOW>
teihivenator,tei hi venator </EOW>
teinurosaurus,tein uro sauru s </EOW>
teleocrater,teleo c rater </EOW>
telmatosaurus,tel mato sauru s </EOW>
tenantosaurus,tenan to sauru s </EOW>
tenchisaurus,ten chisauru s </EOW>
tendaguria,ten daguria </EOW>
tengrisaurus,ten g risauru s </EOW>
tenontosaurus,tenon to sauru s </EOW>
teratophoneus,teratophoneu s </EOW>
teratosaurus,terato sauru s </EOW>
termatosaurus,ter mato sauru s </EOW>
tethyshadros,te thy shadro s </EOW>
tetragonosaurus,te tragono sauru s </EOW>
texacephale,te xa cephale </EOW>
texasetes,te xa se te s </EOW>
teyuwasu,te yu wa su </EOW>
thecocoelurus,the co co eluru s </EOW>
thecodontosaurus,the co don to sauru s </EOW>
thecospondylus,the co spondy lu s </EOW>
theiophytalia,thei ophy talia </EOW>
therizinosaurus,theri z ino sauru s </EOW>
therosaurus,thero sauru s </EOW>
thescelosaurus,the s celo sauru s </EOW>
thespesius,the spe si u s </EOW>
thotobolosaurus,tho to bo lo sauru s </EOW>
tianchisaurus,tian chisauru s </EOW>
tianchungosaurus,tian chun go sauru s </EOW>
tianyulong,tian yu long </EOW>
tianyuraptor,tian yura p tor </EOW>
tianzhenosaurus,tian z heno sauru s </EOW>
tichosteus,ti cho steu s </EOW>
tienshanosaurus,ti en shano sauru s </EOW>
timimus,ti mi mu s </EOW>
timurlengia,ti mur len gia </EOW>
titanoceratops,titano ceratop s </EOW>
titanosaurus,titano sauru s </EOW>
titanosaurus,titano sauru s </EOW>
tochisaurus,to chisauru s </EOW>
tomodon,to mo don </EOW>
tonganosaurus,tongano sauru s </EOW>
tongtianlong,tong tian long </EOW>
tonouchisaurus,tono u chisauru s </EOW>
torilion,torili on </EOW>
tornieria,torni eria </EOW>
torosaurus,toro sauru s </EOW>
torvosaurus,tor vo sauru s </EOW>
tototlmimus,to to t l mi mu s </EOW>
trachodon,tra cho don </EOW>
traukutitan,trau ku titan </EOW>
trialestes,triale ste s </EOW>
triassolestes,tria s so le ste s </EOW>
tribelesodon,tri bele so don </EOW>
triceratops,tri ceratop s </EOW>
trigonosaurus,tri gono sauru s </EOW>
trimucrodon,tri mu cro don </EOW>
trinisaura,trinisaura </EOW>
triunfosaurus,tri un f o sauru s </EOW>
troodon,tro o don </EOW>
tsaagan,t sa agan </EOW>
tsagantegia,t sagan te gia </EOW>
tsintaosaurus,t sin ta o sauru s </EOW>
tugulusaurus,t ugu lu sauru s </EOW>
tuojiangosaurus,t u o jiango sauru s </EOW>
turanoceratops,t urano ceratop s </EOW>
turiasaurus,t uria sauru s </EOW>
tylocephale,ty lo cephale </EOW>
tylosteus,ty lo steu s </EOW>
tyrannosaurus,tyran no sauru s </EOW>
tyrannotitan,tyran no titan </EOW>
illustration,il lu strati on </EOW>
uberabatitan,u berabatitan </EOW>
udanoceratops,u dano ceratop s </EOW>
ugrosaurus,ug ro sauru s </EOW>
ugrunaaluk,ug runa alu k </EOW>
uintasaurus,u in ta sauru s </EOW>
ultrasauros,u l tra sauro s </EOW>
ultrasaurus,u l tra sauru s </EOW>
ultrasaurus,u l tra sauru s </EOW>
umarsaurus,u mar sauru s </EOW>
unaysaurus,una y sauru s </EOW>
unenlagia,unen lagia </EOW>
unescoceratops,une s co ceratop s </EOW>
unicerosaurus,uni cero sauru s </EOW>
unquillosaurus,un qu il lo sauru s </EOW>
urbacodon,ur ba co don </EOW>
utahceratops,uta h ceratop s </EOW>
utahraptor,uta h ra p tor </EOW>
uteodon,u teo don </EOW>
vagaceratops,vaga ceratop s </EOW>
vahiny,va hin y </EOW>
valdoraptor,val dora p tor </EOW>
valdosaurus,val do sauru s </EOW>
variraptor,vari ra p tor </EOW>
velociraptor,velo ci ra p tor </EOW>
vectensia,ve c ten sia </EOW>
vectisaurus,ve c tisauru s </EOW>
velafrons,vela f ron s </EOW>
velocipes,velo ci pe s </EOW>
velociraptor,velo ci ra p tor </EOW>
velocisaurus,velo cisauru s </EOW>
venaticosuchus,venati co su chu s </EOW>
venenosaurus,veneno sauru s </EOW>
veterupristisaurus,ve teru p ristisauru s </EOW>
viavenator,via venator </EOW>
vitakridrinda,vi ta kri d rin da </EOW>
vitakrisaurus,vi ta krisauru s </EOW>
volkheimeria,vo l k hei meria </EOW>
vouivria,vo u i v ria </EOW>
vulcanodon,vu l cano don </EOW>
wadhurstia,wa d hur stia </EOW>
wakinosaurus,wa kino sauru s </EOW>
walgettosuchus,wal ge t to su chu s </EOW>
walkeria,wal keria </EOW>
walkersaurus,wal ker sauru s </EOW>
wangonisaurus,wan gonisauru s </EOW>
wannanosaurus,wan nano sauru s </EOW>
wellnhoferia,w el l n ho feria </EOW>
wendiceratops,w en di ceratop s </EOW>
wiehenvenator,w i e hen venator </EOW>
willinakaqe,w il lina ka q e </EOW>
wintonotitan,w in tono titan </EOW>
wuerhosaurus,wu er ho sauru s </EOW>
wulagasaurus,wu laga sauru s </EOW>
wulatelong,wu latelong </EOW>
wyleyia,w y le yia </EOW>
wyomingraptor,w yo min gra p tor </EOW>
xenoceratops,x eno ceratop s </EOW>
xenoposeidon,x enopo sei don </EOW>
xenotarsosaurus,x eno tar so sauru s </EOW>
xianshanosaurus,xian shano sauru s </EOW>
xiaosaurus,xia o sauru s </EOW>
xingxiulong,xing xi u long </EOW>
xinjiangovenator,xin jiango venator </EOW>
xinjiangtitan,xin jiang titan </EOW>
xiongguanlong,xi ong guan long </EOW>
xixianykus,xi xian y ku s </EOW>
xixiasaurus,xi xia sauru s </EOW>
xixiposaurus,xi xi po sauru s </EOW>
xuanhanosaurus,x uan hano sauru s </EOW>
xuanhuaceratops,x uan hua ceratop s </EOW>
xuanhuasaurus,x uan hua sauru s </EOW>
xuwulong,x u wu long </EOW>
yaleosaurus,yaleo sauru s </EOW>
yamaceratops,yama ceratop s </EOW>
yandusaurus,yan d u sauru s </EOW>
yangchuanosaurus,yang chuano sauru s </EOW>
yaverlandia,ya ver lan dia </EOW>
yehuecauhceratops,y e hue cau h ceratop s </EOW>
yezosaurus,y e z o sauru s </EOW>
yibinosaurus,yi bino sauru s </EOW>
yimenosaurus,yi meno sauru s </EOW>
yingshanosaurus,yin g shano sauru s </EOW>
yinlong,yin long </EOW>
yixianosaurus,yi xiano sauru s </EOW>
yizhousaurus,yi zho u sauru s </EOW>
yongjinglong,yong jin g long </EOW>
yuanmouraptor,yuan mo ura p tor </EOW>
yuanmousaurus,yuan mo u sauru s </EOW>
yueosaurus,yu eo sauru s </EOW>
yulong,yu long </EOW>
yunganglong,yun gan g long </EOW>
yunmenglong,yun men g long </EOW>
yunnanosaurus,yun nano sauru s </EOW>
yunxianosaurus,yun xiano sauru s </EOW>
yurgovuchia,yur go vu chia </EOW>
yutyrannus,yu tyran n u s </EOW>
zanabazar,zanaba zar </EOW>
zanclodon,zan c lo don </EOW>
zapalasaurus,za pala sauru s </EOW>
zapsalis,za p salis </EOW>
zaraapelta,zara a pelta </EOW>
zatomuszby,zato mu sz by </EOW>
zephyrosaurus,z e phy ro sauru s </EOW>
zhanghenglong,z han g hen g long </EOW>
zhejiangosaurus,z he jiango sauru s </EOW>
zhenyuanlong,z hen yuan long </EOW>
zhongornis,zhongornis </EOW>
zhongjianosaurus,zhong jiano sauru s </EOW>
zhongyuansaurus,zhong yuan sauru s </EOW>
zhuchengceratops,zhuchen g ceratop s </EOW>
zhuchengosaurus,zhuchen go sauru s </EOW>
zhuchengtitan,zhuchen g titan </EOW>
zhuchengtyrannus,zhuchen g tyran n u s </EOW>
ziapelta,z ia pelta </EOW>
zigongosaurus,z i gongo sauru s </EOW>
zizhongosaurus,z i zhongo sauru s </EOW>
zuniceratops,zuni ceratop s </EOW>
zunityrannus,zuni tyran n u s </EOW>
zuolong,zu o long </EOW>
zuoyunlong,zu o yun long </EOW>
zupaysaurus,zu pa y sauru s </EOW>
zuul,zu u l </EOW>
